name;alias;description;group_type;department;group_id;sku;unit;price;VAT;purchase_price;available;reserved;last_reserved_at
Удаление камней из мочевого пузыря во время оперативного вмешательства;;;Услуги платные;Хирургия;Хирургия;4853;1 голова;420;;;;;
Удаление новообразований влагалища у кошек и собак до 10 кг (2023);;;Услуги платные;Хирургия;Хирургия;2163;1 голова;5500;;;;;
Удаление новообразований влагалища у собак от 10 кг (2023);;;Услуги платные;Хирургия;Хирургия;2164;1 голова;6500;;;;;
Удаление опухоли большой * (2023);;;Услуги платные;Хирургия;Хирургия;2248;1 опухоль;8500;;;;;
Удаление опухоли малой * (2023);;;Услуги платные;Хирургия;Хирургия;2246;1 опухоль;3000;;;;;
Удаление опухоли средней * (2023);;;Услуги платные;Хирургия;Хирургия;2247;1 опухоль;5000;;;;;
Удаление селезенки кошки (2023);;;Услуги платные;Хирургия;Хирургия;2170;1 голова;6000;;;;;
Удаление селезенки собаки (2023);;;Услуги платные;Хирургия;Хирургия;2169;1 голова;8000;;;;;
Унилатеральная мастэктомия у кошки, собаки до 10 кг * (2023);;;Услуги платные;Хирургия;Хирургия;2200;1 голова;6000;;;;;
Унилатеральная мастэктомия у собаки, 10-25 кг * (2023);;;Услуги платные;Хирургия;Хирургия;2201;1 голова;8500;;;;;
Унилатеральная мастэктомия у собаки, 25-50 кг * (2023);;;Услуги платные;Хирургия;Хирургия;2202;1 голова;9500;;;;;
Унилатеральная мастэктомия у собаки, более 50 кг * (2023);;;Услуги платные;Хирургия;Хирургия;2203;1 голова;10500;;;;;
Уретростомия кота (2023);;;Услуги платные;Хирургия;Хирургия;2245;1 голова;8000;;;;;
Уретростомия собаки (2023);;;Услуги платные;Хирургия;Хирургия;2244;1 голова;10000;;;;;
Фронтотомия лобных пазух (2023);;;Услуги платные;Хирургия;Хирургия;2239;1 голова;4500;;;;;
Хирургическая обработка раны без наложения швов (2023);;;Услуги платные;Хирургия;Хирургия;2101;1 рана;400;;;;;
Хирургическое лечение диафрагмальной/перитонеоперикардиальной грыжи у кошек, собак до 10 кг (2023);;;Услуги платные;Хирургия;Хирургия;2134;1 голова;9000;;;;;
Хирургическое лечение диафрагмальной/перитонеоперикардиальной грыжи у собак от 10 кг (2023);;;Услуги платные;Хирургия;Хирургия;2135;1 голова;10500;;;;;
Хирургическое лечение паралича гортани (2023);;;Услуги платные;Хирургия;Хирургия;2230;1 голова;11500;;;;;
Хирургическое лечение пролапса уретры у кобелей до 10 кг (2023);;;Услуги платные;Хирургия;Хирургия;2177;1 голова;6000;;;;;
Хирургическое лечение разрыва мочевого пузыря кошке с диагностичексой лапаротомией, собаке (2023);;;Услуги платные;Хирургия;Хирургия;2176;1 голова;5000;;;;;
Хирургическое лечение хилоторакса у кошек, собак  до 10 кг (2023);;;Услуги платные;Хирургия;Хирургия;2136;1 голова;10500;;;;;
Хирургическое лечение хилоторакса у собак от 10  кг (2023);;;Услуги платные;Хирургия;Хирургия;2137;1 голова;12000;;;;;
Холецистоэктомия (удаление желчного пузыря);;;Услуги платные;Хирургия;Хирургия;48621;1 голова;8000;;;;;
Цистотомия (2023);;;Услуги платные;Хирургия;Хирургия;2173;1 голова;5500;;;;;
Экстрипация параанальных синусов * (2023);;;Услуги платные;Хирургия;Хирургия;2199;1 голова;3000;;;;;
Эндоскопическая кастрация, кобели при крипторхизме кошки, собаки мелких пород ( до 10 кг) (2023);;;Услуги платные;Хирургия;Хирургия;2225;1 голова;6500;;;;;
Эндоскопическая кастрация, кобели при крипторхизме, собаки от 11-30 кг (2023);;;Услуги платные;Хирургия;Хирургия;2226;1 голова;8500;;;;;
Эндоскопическая кастрация, кобели при крипторхизме, собаки от 30 кг (2023);;;Услуги платные;Хирургия;Хирургия;2227;1 голова;10500;;;;;
Эндоскопические операции (риноскопия,ларингоскопия,трахеоскопия,бронхоскопия,  отоскопия) кошки,собаки мелких пород (до 10 кг);;;Услуги платные;Хирургия;Хирургия;48671;1 голова;4000;;;;;
Эндоскопические операции (риноскопия,ларингоскопия,трахеоскопия,бронхоскопия,  отоскопия) собаки средних пород (от 11 до 30кг);;;Услуги платные;Хирургия;Хирургия;48672;1 голова;5500;;;;;
Эндоскопическое удаление инородных тел из гортани/трахеи/носа/бронхов. Кошки, собаки мелких пороод ( до 10 кг) (2023);;;Услуги платные;Хирургия;Хирургия;2208;1 голова;9000;;;;;
Эндоскопическое удаление инородных тел из гортани/трахеи/носа/бронхов. Собаки крупных пород ( более 30 кг) (2023);;;Услуги платные;Хирургия;Хирургия;2210;1 голова;12000;;;;;
